product_category,revenue,orders,avg_review,avg_delivery
health_beauty,1410846.79,8608,4.235089153624543,11.638708178438662
watches_gifts,1261951.03,5472,4.127025036818852,12.353382084095063
bed_bath_table,1225127.59,9171,4.010577346848832,12.55948097263112
sports_leisure,1119784.9,7493,4.2330514162974895,11.796182594767751
computers_accessories,1032719.14,6502,4.083140163807758,12.738501768958622
furniture_decor,884202.65,6213,4.073698718988163,12.634637051343956
housewares,761444.74,5695,4.204380851439675,10.643195785776998
cool_stuff,693332.23,3531,4.227376534399086,11.939110733503258
auto,669549.48,3794,4.150953389830509,11.880305826522541
garden_tools,567606.19,3414,4.194698085419735,13.20240187463386
toys,546941.25,3780,4.2401333333333335,11.279703625297698
baby,466249.37,2763,4.122035753374681,12.276872964169382
perfumery,444132.28,3075,4.266721044045677,11.44780487804878
telephony,379609.36,4076,4.056021717670286,12.484543670264966
office_furniture,334107.05,1246,3.6492718446601944,20.23194221508828
stationery,270257.55,2248,4.304026845637584,12.351868327402135
pet_shop,251400.12,1683,4.278208955223881,10.929292929292929
computers,226944.65,176,4.242774566473988,13.5
musical_instruments,202357.83,608,4.2425249169435215,12.636513157894736
electronics,202154.11,2507,4.128617363344051,12.473075388911049
small_appliances,197798.87,606,4.266222961730449,10.55940594059406
fashion_bags_accessories,180067.45,1813,4.239612188365651,10.769442912300056
luggage_accessories,167683.94,1008,4.379482071713148,10.425595238095237
consoles_games,167074.75,1014,4.184577114427861,13.310650887573965
construction_tools_construction,163445.43,728,4.1320885200553255,10.417582417582418
home_appliances_2,118008.4,226,4.155555555555556,13.4070796460177
home_construction,94361.06,466,4.053879310344827,13.05793991416309
home_appliances,93313.46,747,4.216173835125448,10.88888888888889
furniture_living_room,85734.66,409,4.094059405940594,13.45721271393643
agro_industry_and_commerce,76208.42,177,4.107344632768362,11.0
home_confort,67326.43000000001,370,3.910326086956522,13.075675675675676
fixed_telephony,59924.99,212,3.9665071770334928,12.080188679245284
air_conditioning,59880.2,245,4.128630705394191,11.416326530612245
kitchen_dining_laundry_garden_furniture,57329.65,239,4.135021097046414,11.418410041841005
audio,56853.67,344,3.846041055718475,13.06686046511628
books_general_interest,54200.75,493,4.539877300613497,11.095528455284553
small_appliances_home_oven_and_coffee,49268.75,72,4.430555555555555,9.5
construction_tools_lights,48248.21,231,4.214912280701754,9.281385281385282
industry_commerce_and_business,45771.0,229,4.237885462555066,10.482456140350877
construction_tools_safety,41813.42,154,4.019607843137255,11.220779220779221
food,35355.95,435,4.324825986078887,9.36551724137931
market_place,32878.8,268,4.116541353383458,11.861940298507463
costruction_tools_garden,29094.38,184,4.2771739130434785,11.592391304347826
signaling_and_security,27893.8,138,4.116788321167883,10.405797101449275
fashion_shoes,27715.88,233,4.286026200873362,15.253218884120171
drinks,27613.58,284,4.257042253521127,9.943661971830986
art,27018.72,191,4.126984126984127,10.910994764397905
furniture_bedroom,23110.61,89,4.292134831460674,13.292134831460674
books_technical,23023.28,255,4.425196850393701,10.223529411764705
food_drink,19266.96,218,4.447247706422019,10.454128440366972
costruction_tools_tools,17934.170000000002,97,4.425531914893617,11.762886597938145
fashion_male_clothing,12514.94,106,3.8190476190476192,12.377358490566039
christmas_supplies,11950.02,125,4.1138211382113825,14.936
fashion_underwear_beach,11160.02,117,4.008620689655173,13.564102564102564
tablets_printing_image,8618.36,77,4.173333333333333,12.61038961038961
cine_photo,8135.33,63,4.333333333333333,10.031746031746032
music,6825.92,37,4.297297297297297,11.054054054054054
furniture_mattress_and_upholstery,5904.75,37,3.891891891891892,13.891891891891891
dvds_blu_ray,5893.2699999999995,56,4.196428571428571,12.5
party_supplies,5398.66,38,4.078947368421052,8.578947368421053
books_imported,5182.65,50,4.44,7.72
fashio_female_clothing,3302.39,36,3.9166666666666665,12.416666666666666
la_cuisine,2516.16,12,4.545454545454546,7.166666666666667
fashion_sport,2503.33,24,4.541666666666667,9.791666666666666
arts_and_craftmanship,2168.4700000000003,22,4.136363636363637,5.318181818181818
diapers_and_hygiene,2046.19,25,3.96,9.96
flowers,1794.87,29,4.392857142857143,11.03448275862069
home_comfort_2,1131.4099999999999,22,3.9047619047619047,14.545454545454545
cds_dvds_musicals,954.99,12,4.666666666666667,10.5
fashion_childrens_clothes,718.98,7,5.0,8.142857142857142
security_and_services,324.51,2,2.5,15.0
